Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards
Tuta,Eintracht Frankfurt,BRA,DF,21,19,16,1459,0,0,0,0,0.01,0.02,5,0
Amin Younes,Eintracht Frankfurt,GER,"MF,FW",26,26,16,1391,3,3,0,0,0.22,0.11,5,0
David Abraham,Eintracht Frankfurt,ARG,DF,34,14,14,1222,1,0,0,0,0.05,0.03,5,1
Aymen Barkok,Eintracht Frankfurt,MAR,"FW,MF",22,26,9,977,2,3,0,0,0.15,0.27,5,0
Bas Dost,Eintracht Frankfurt,NED,FW,31,12,9,817,4,2,1,1,0.47,0.25,3,0
Luka Jović,Eintracht Frankfurt,SRB,"FW,MF",22,18,8,894,4,1,0,0,0.28,0.06,2,0
Almamy Touré,Eintracht Frankfurt,MLI,DF,24,17,8,704,1,1,0,0,0.15,0.16,2,0
Steven Zuber,Eintracht Frankfurt,SUI,"DF,MF",28,20,6,585,0,3,0,0,0.12,0.29,1,0
Timothy Chandler,Eintracht Frankfurt,USA,DF,30,15,3,432,1,0,0,0,0.18,0.07,2,0
Dominik Kohr,Eintracht Frankfurt,GER,"MF,FW",26,7,2,260,0,0,0,0,0.19,0.01,1,0
Ajdin Hrustic,Eintracht Frankfurt,AUS,"MF,FW",24,11,1,272,1,0,0,0,0.1,0.14,2,0
Danny da Costa,Eintracht Frankfurt,GER,DF,27,6,1,110,0,0,0,0,0.14,0.0,0,0
Elias Bördner,Eintracht Frankfurt,GER,GK,18,1,1,90,0,0,0,0,0.0,0.0,0,0
Ragnar Ache,Eintracht Frankfurt,GER,"FW,DF",22,7,0,100,1,0,0,0,0.24,0.0,1,0
Edmond Tapsoba,Bayer Leverkusen,BFA,DF,21,31,29,2652,1,0,0,0,0.04,0.02,5,0
Lukáš Hrádecký,Bayer Leverkusen,FIN,GK,30,29,29,2565,0,0,0,0,0.0,0.0,1,0
Moussa Diaby,Bayer Leverkusen,FRA,"FW,MF",21,32,28,2388,4,11,0,0,0.21,0.26,5,0
Florian Wirtz,Bayer Leverkusen,GER,MF,17,29,25,2224,5,6,0,0,0.18,0.18,1,0
Leon Bailey,Bayer Leverkusen,JAM,"FW,MF",22,30,25,2141,9,8,0,0,0.29,0.26,6,0
Jonathan Tah,Bayer Leverkusen,GER,DF,24,27,24,2219,1,0,0,0,0.03,0.01,3,0
Nadiem Amiri,Bayer Leverkusen,GER,MF,23,29,20,1890,2,6,0,0,0.1,0.14,5,0
Patrik Schick,Bayer Leverkusen,CZE,FW,24,29,20,1866,9,1,0,0,0.47,0.11,4,0
Kerem Demirbay,Bayer Leverkusen,GER,MF,27,29,20,1744,4,3,0,0,0.12,0.13,2,0
Charles Aránguiz,Bayer Leverkusen,CHI,MF,31,21,20,1669,0,0,0,0,0.04,0.04,4,0
Daley Sinkgraven,Bayer Leverkusen,NED,DF,25,22,19,1570,0,0,0,0,0.02,0.04,4,0
Wendell,Bayer Leverkusen,BRA,DF,27,22,15,1457,0,0,0,0,0.04,0.01,3,0
Sven Bender,Bayer Leverkusen,GER,DF,31,18,14,1170,0,0,0,0,0.01,0.03,1,0
Lucas Alario,Bayer Leverkusen,ARG,FW,27,25,12,1245,11,2,2,2,0.47,0.05,2,0
Julian Baumgartlinger,Bayer Leverkusen,AUT,MF,32,17,12,1072,2,0,0,0,0.11,0.02,1,0
Lars Bender,Bayer Leverkusen,GER,DF,31,14,12,936,1,2,1,1,0.12,0.05,2,0
Aleksandar Dragović,Bayer Leverkusen,AUT,DF,29,18,11,1136,1,0,0,0,0.02,0.03,3,0
Karim Bellarabi,Bayer Leverkusen,GER,"FW,MF",30,22,7,798,0,0,0,0,0.25,0.2,2,0
